EQUIP_CODE,EQUIP_NAME,Difference
6421,60' NEOPLAN ARTIC,3
6424,60' NEOPLAN ARTIC,76
6500,NEW FLYER 60 HYBRID - ALLISON,1
6501,NEW FLYER 60 HYBRID - ALLISON,1
6502,NEW FLYER 60 HYBRID - ALLISON,1
6503,NEW FLYER 60 HYBRID - ALLISON,1
6504,NEW FLYER 60 HYBRID - ALLISON,1
6505,NEW FLYER 60 HYBRID - ALLISON,1
6506,NEW FLYER 60 HYBRID - ALLISON,1
6507,NEW FLYER 60 HYBRID - ALLISON,1
6508,NEW FLYER 60 HYBRID - ALLISON,1
6509,NEW FLYER 60 HYBRID - ALLISON,1
6510,NEW FLYER 60 HYBRID - ALLISON,1
6511,NEW FLYER 60 HYBRID - ALLISON,1
6512,NEW FLYER 60 HYBRID - ALLISON,1
6513,NEW FLYER 60 HYBRID - ALLISON,1
6514,NEW FLYER 60 HYBRID - ALLISON,1
6515,NEW FLYER 60 HYBRID - ALLISON,1
6516,NEW FLYER 60 HYBRID - ALLISON,1
6517,NEW FLYER 60 HYBRID - ALLISON,1
6518,NEW FLYER 60 HYBRID - ALLISON,1
6519,NEW FLYER 60 HYBRID - ALLISON,1
6520,NEW FLYER 60 HYBRID - ALLISON,1
6521,NEW FLYER 60 HYBRID - ALLISON,1
6522,NEW FLYER 60 HYBRID - ALLISON,1
6523,NEW FLYER 60 HYBRID - ALLISON,1
6524,NEW FLYER 60 HYBRID - ALLISON,1
6525,NEW FLYER 60 HYBRID - ALLISON,1
6526,NEW FLYER 60 HYBRID - ALLISON,1
6527,NEW FLYER 60 HYBRID - ALLISON,1
6528,NEW FLYER 60 HYBRID - ALLISON,1
6529,NEW FLYER 60 HYBRID - ALLISON,1
6530,NEW FLYER 60 HYBRID - ALLISON,1
6531,NEW FLYER 60 HYBRID - ALLISON,1
6532,NEW FLYER 60 HYBRID - ALLISON,1
6533,NEW FLYER 60 HYBRID - ALLISON,1
6534,NEW FLYER 60 HYBRID - ALLISON,1
6535,NEW FLYER 60 HYBRID - ALLISON,1
6536,NEW FLYER 60 HYBRID - ALLISON,1
6537,NEW FLYER 60 HYBRID - ALLISON,1
6538,NEW FLYER 60 HYBRID - ALLISON,1
6539,NEW FLYER 60 HYBRID - ALLISON,1
6540,NEW FLYER 60 HYBRID - ALLISON,1
6541,NEW FLYER 60 HYBRID - ALLISON,1
6542,NEW FLYER 60 HYBRID - ALLISON,1
6543,NEW FLYER 60 HYBRID - ALLISON,1
